cat,points,answer,f1,f2,f3,f4,img,audio,text
cat1,10,3. Johannes,Apostelgeschichte,Phariäer,1. Timotheus,1. Petrus,,,Welches Buch kommt nach dem 2. Johannes Brief?
cat1,20,,,,,,,,Challenge - Lava
cat1,30,Esel,Ochse,Krippe,Weise,Stern von Betlehem,,,Welches Element wird in der biblischen Erzählung der Weinachtsgeschichte nicht erwähnt?
cat1,40,Johannes,1. Mose,Genesis,Psalm,Matthäus,,,"Welches Buch beginnt mit ""Am Anfang war das Wort"" ?"
cat1,50,80,480,40,130,350,,,Wie alt war Moses als er dem brennenden Dornbusch begegnete?
cat2,10,40000,30000,50000,60000,70000,,,Wie gross ist der Erdumfang am Äquator?
cat2,20,Delfine,Markelenheie,Grndelwale,Schweisnswale,Furchenwale,,,Zu welcher Tierfamilie zählt der Schwertwal (Orca)?
cat2,30,,,,,,,,Challenge - Pyramide
cat2,40,40%,20%,30%,50%,60%,,,"Wie hoch muss der Alkoholgehalt in einem Getränk sein, damit ein Eiswürfel aus Wasser sinkt?"
cat2,50,"Japan, 02.09.1945","Japan, 14.08.1945","Italien, 05.09.1945","Deutschland, 07.05.1945","Deutschland, 02.09.1945",,,Wer und wann kapitulierte zuletzt im 2. Weltkrieg?
cat3,10,,,,,,,,Challenge - Pin
cat3,20,Athena,Ambrosia,La Pergola,Thalassa,Artemis,,,Welches Restaurant gibt es im Aldemar nicht?
cat3,30,Dicksack,Grossmuul,Sensibeli,Grobian,Hoseschiiser,,,Welche Beleidigung wurde heute im Theater nicht verwendet?
cat3,40,Ana Dina,Domi,Nadine,Jonas,Roman,,,Wer ist der/die jüngste Leiter(in)?
cat3,50,2007,2005,2009,2011,1996,,,Seit welchem Jahr finden die Ferien am Meer im Aldemar statt?
cat4,10,Keine,Nicht gelistet,ca. 100,ca. 200,ca. 300,,,Wie viele Tierpaare nahm Jona mit auf die Arche?
cat4,20,Nicht gelistet,2000 v. Chr.,200 v. Chr.,200 n. Chr.,500 n. Chr.,,,Welche Prägung ist auf der der Ältesten Müze der Welt?
cat4,30,Nicht gelistet,1,1.5,2,3,,,"Einige Monate haben 31 Tage, andere 30. Wie viele Monate haben 28 Tage?"
cat4,40,,,,,,,,Challenge - Strandtuch
cat4,50,Nicht gelistet,Azerbaijan,Turkmenistan,Iran,Uzbekistan,map2,,Welches Land ist auf der Karte markiert?
cat5,10,10,12,5,8,9,,,Wie viele Kanten hat ein Dekagon?
cat5,20,absondern,auswählen,unterstutzen,untergraben,verneinen,,,Was bedeutet segregieren?
cat5,30,,,,,,,wi;ly;ig;s6;li,Challenge - Tunes
cat5,40,Verbraucher,Verkäufer,Lieferant,Hersteller,Entsorger,,,Was ist ein Konsument?
cat5,50,Menge,Qualität,Kleinstes physikalisches Teilchen,Lichtjahr,Lichtstärke,,,Was ist ein Quantum?
cat6,10,Black Panther 2,Captain Marvel,Avengers 4,Spiderman 2,Guardians of the Galaxy 3,,,Welcher Film wurde von Marvel nicht angekündigt?
cat6,20,Furious 7,Avatar,Titanic,Star Wars VII,Avengers - Infinity War,,,Welcher Film hat weniger als 2 Milliarden Dollar eingenommen?
cat6,30,7,5,6,9,10,,,Wie viele offizielle James Bond Darsteller gab es bis jetzt?
cat6,40,X-Men,Harry Potter,Herr der Ringe,Fast & Furious,Ocean's,,,Welche Filmserie ist am Ältesten?
cat6,50,,,,,,1;2;3;4;5,,Challenge - Emojis
