buffer,cat,points,answer,f1,f2,f3,f4,img,entry,audio,text
,cat1,10,Wasser wird zu Wein,Dämon wird ausgetrieben,Gelähtmer wird geheilt,Toter wird auferweckt,Speisung der 5000,,,,"Welches ist Jesus erstes Wunder, das in der Bibel erwähnt wird?"
,cat1,20,Matthäus,Lukas,Johannes,Petrus,Markus,,,,Welches Evangelium hat am meisten Kapitel?
,cat1,30,,,,,,1;2;3;4;5,,,Challenge - Emoji Bible Stories
,cat1,40,Jakob,Abraham,Josua,Mose,"Johannes, der Täufer",,,,"Wer hatte den Traum einer Himmelsleiter, während er mit einem Stein unter dem Kopf schlief?"
,cat1,50,Hannah,Rahel,Leah,Sarah,Esther,,,,"Von wem ist hier die Rede: ""Sie wurde schwanger und brachte einen Sohn zur Welt. ""Ich habe Gott um einen Sohn gebeten«, sagte sie und nannte ihn daher Samuel."""
,cat2,10,20. Juli 1969,20.Nov.69,20. Juli 1968,20.Nov.70,20.Sep.65,,,,Wann fand die 1. Mondlandung statt?
,cat2,20,6,8,12,9,24,,,,Wieviele Halswirbel hat eine Giraffe?
,cat2,30,Russicium,Europium,Americium,Californium,Germanium,,,,Welches Element existiert nicht?
,cat2,40,Kroatien,Tschechien,Slovenien,Slowakei,Deutschland,,,,An welches Land grenzt Österreich nicht?
,cat2,50,,,,,,,,,Challenge - Weltkarte
,cat3,10,Stefany,Jonas,Sandro,Andrina,Beat,,,,Wer ist der/die jüngste Leiter(in)?
,cat3,20,Neda,Nestor,Neoma,Niantra,Nugada,,,,Wie heisst das mittlere Segment des Gottesdienstsaals?
,cat3,30,2017,2019,2018,2016,2015,,,,In welchem Jahr wurde das Restaurent Sympossio eröffnet?
,cat3,40,,,,,,,,,Challenge - Foto
,cat3,50,USA Flagge,Schweizer Flagge,UK Flagge,Shepherd&Sons,Guitarre,,,,Welcher Sticker ist auf dem Band Bus im Countdown nicht zu finden?
,cat4,10,Toronto Raptors,Los Angeles Lakers,Golden State Warriors,Chicago Bulls,Houston Rockets,,,,Wer gewann dieses Jahr die NBA?
,cat4,20,,,,,,,,,Challenge - Cracker
,cat4,30,Didier Cuche,Carlo Janka,Beat Feuz,Didier Defago,Patrick Küng,,,,Welcher Schweizer Skirennfahrer gewann zuletzt die Abfahrt in Kitzbühl?
,cat4,40,Dani Alves,Lionel Messi,Stephan Lichtsteiner,Edinson Cavani,Andres Iniesta,,,,"Ich spielte mit diesen Spielern zusammen: Ibrahimovic, Neymar, Samuel Eto‘o, David Villa, Higuain, David Luiz, Yaya Toure, Jesus Navas, Di Maria, Alexis Sanchez, Mario Mandzukic. Wer bin ich?"
,cat4,50,Verweigerung,Abtausch,Fesselung,Rochade,Gambit,,,,"Welches ist kein Begriff, der im Schachspiel geläufig verwendet wird?"
,cat5,10,Licht,Bild,Aufnahme,Still (bewegungslos),Andenken,,,,Foto ist vom griechischen Wort Photos (φωτός) abgeleitet. Wie wird das Wort direkt ins Deutsche übersetzt?
,cat5,20,Blut,Offenen Gewässer,Angst,Gewittern,Menschenmassen,,,,Hämatophobie ist die Angst vor was?
,cat5,30,Ehrenmann/Ehrenfrau,verbuggt,Snackosaurus,Lauch,sheeeesh,,,,Welches Wort wurde zum deutschen Jugendwort des Jahres 2018 gekürt?
,cat5,40,,,,,,,TRUE,,Challenge - Schätzfragen
,cat5,50,Bundesrat,Lawine,Putsch,Reichsdeutsche,Vignette,,,,Welches Wort ist kein Helvetismus?
,cat6,10,10,5,15,20,25,,,,Wieviele Character waren sowohl in der Herr der Ringe als auch der Hobbit Trioligie zu sehen?
,cat6,20,,,,,,,,,Challenge - Lava
,cat6,30,$22.5 Milliarden,$225 Milliarden,$2.25 Billionen,$2.25 Milliarden,$225 Millionen,,,,Wieviel Dollars hat das Marvel Cinematic Universe bisher weltweit eingespielt?
,cat6,40,Albus Dumbledore,Dobby,Rubeus Hagrid,Minerva McGonagall,Severus Snape,,,,Zwischen dem 2. und 3. Harry Potter musste aufgrund eines Todes ein Charakter neu besetzt werden. Welcher war es?
,cat6,50,Star Wars,Harry Potter,X-Men,Shrek,How to Train Your Dragon,,,,Welche Film Serie basiert nicht auf  Büchern/Comics?
